ExpTime(s),jwst.nircam.f090w,jwst.nircam.f115w,jwst.nircam.f150w,jwst.nircam.f200w,jwst.nircam.f277w,jwst.nircam.f356w,jwst.nircam.f410m,jwst.nircam.f444w
6150,18.31,16.11,13.66,11.63,17.4,16.48,28.35,22.5
6200,18.22,16.08,13.64,11.63,17.31,16.48,28.25,22.41
6250,18.16,15.99,13.55,11.58,17.22,16.29,28.07,22.32
6300,18.08,15.94,13.53,11.52,17.22,16.29,27.98,22.23
6350,18.05,15.85,13.46,11.47,17.03,16.29,27.88,22.13
6400,17.98,15.82,13.44,11.41,17.03,16.2,27.79,22.13
6450,17.93,15.75,13.36,11.41,17.03,16.11,27.7,21.95
6500,17.85,15.73,13.3,11.41,17.03,16.11,27.61,21.95
6550,17.74,15.64,13.28,11.3,16.94,16.01,27.51,21.95
6600,17.67,15.6,13.18,11.3,16.94,15.92,27.42,21.86
6650,17.64,15.51,13.17,11.19,16.76,15.92,27.23,21.7
6700,17.56,15.48,13.09,11.19,16.76,15.92,27.23,21.67
6750,17.49,15.42,13.09,11.14,16.76,15.83,27.14,21.58
6800,17.42,15.4,13.01,11.14,16.66,15.74,27.05,21.58
6850,17.39,15.33,12.97,11.03,16.57,15.74,26.96,21.58
6900,17.3,15.27,12.89,11.03,16.48,15.74,26.86,21.39
6950,17.19,15.19,12.89,10.97,16.48,15.55,26.68,21.39
7000,17.18,15.17,12.82,10.97,16.38,15.55,26.68,21.39
7050,17.09,15.13,12.82,10.92,16.38,15.55,26.59,21.21
7100,17.09,15.06,12.73,10.86,16.29,15.46,26.49,21.21
7150,16.98,15.02,12.71,10.81,16.29,15.36,26.4,21.21
7200,16.95,14.95,12.64,10.81,16.29,15.36,26.31,21.02
7250,16.86,14.93,12.64,10.75,16.11,15.36,26.21,21.02
7300,16.86,14.87,12.56,10.75,16.11,15.27,26.12,21.02
7350,16.72,14.84,12.54,10.7,16.01,15.27,26.03,20.93
7400,16.72,14.78,12.47,10.65,16.01,15.18,25.94,20.84
7450,16.64,14.74,12.45,10.59,15.92,15.18,25.94,20.84
7500,16.59,14.7,12.41,10.59,15.92,15.18,25.75,20.84
7550,16.54,14.64,12.38,10.59,15.92,15.09,25.75,20.74
7600,16.49,14.61,12.35,10.48,15.83,14.99,25.66,20.65
7650,16.46,14.54,12.28,10.48,15.83,14.99,25.66,20.65
7700,16.4,14.52,12.27,10.48,15.74,14.99,25.56,20.56
7750,16.32,14.46,12.2,10.43,15.74,14.9,25.38,20.46
7800,16.28,14.42,12.2,10.37,15.74,14.81,25.38,20.46
7850,16.28,14.34,12.16,10.37,15.55,14.81,25.29,20.37
7900,16.18,14.33,12.13,10.32,15.55,14.81,25.19,20.37
7950,16.18,14.31,12.09,10.26,15.55,14.71,25.1,20.37
8000,16.08,14.25,12.03,10.26,15.55,14.71,25.01,20.28
8050,16.06,14.2,12.03,10.26,15.55,14.62,25.01,20.28
8100,15.99,14.18,11.97,10.21,15.36,14.62,24.92,20.19
8150,15.94,14.12,11.95,10.15,15.36,14.62,24.92,20.09
8200,15.94,14.12,11.95,10.15,15.36,14.62,24.82,20.09
8250,15.85,14.04,11.88,10.15,15.36,14.53,24.73,20.09
8300,15.82,14.02,11.85,10.15,15.27,14.44,24.73,20
8350,15.78,13.96,11.81,10.1,15.27,14.44,24.54,19.91
8400,15.75,13.91,11.78,10.04,15.18,14.44,24.54,19.91
8450,15.69,13.88,11.78,10.04,15.18,14.44,24.54,19.91
8500,15.64,13.84,11.71,10.04,15.09,14.34,24.45,19.82
8550,15.62,13.81,11.71,9.93,15.09,14.34,24.36,19.72
8600,15.6,13.78,11.68,9.93,15.09,14.25,24.17,19.72
8650,15.53,13.73,11.61,9.93,14.99,14.25,24.17,19.72
8700,15.51,13.69,11.61,9.88,14.99,14.25,24.17,19.72
8750,15.46,13.66,11.55,9.88,14.99,14.25,24.17,19.63
8800,15.42,13.63,11.54,9.82,14.99,14.16,23.99,19.54
8850,15.37,13.61,11.53,9.82,14.81,14.16,23.99,19.54
8900,15.35,13.56,11.47,9.82,14.81,14.07,23.9,19.54
8950,15.31,13.56,11.44,9.71,14.81,14.07,23.9,19.44
9000,15.27,13.49,11.44,9.71,14.81,13.97,23.8,19.44
9050,15.27,13.48,11.37,9.71,14.71,13.97,23.8,19.35
9100,15.19,13.44,11.37,9.71,14.71,13.97,23.71,19.35
9150,15.17,13.38,11.33,9.66,14.71,13.88,23.62,19.35
9200,15.13,13.36,11.31,9.6,14.71,13.88,23.62,19.35
9250,15.11,13.35,11.31,9.6,14.62,13.79,23.52,19.26
9300,15.08,13.3,11.27,9.6,14.62,13.79,23.43,19.26
9350,15.03,13.28,11.2,9.6,14.53,13.79,23.43,19.17
9400,14.99,13.24,11.2,9.49,14.53,13.79,23.34,19.17
9450,14.95,13.21,11.2,9.49,14.53,13.79,23.34,19.17
9500,14.93,13.17,11.14,9.49,14.44,13.69,23.25,19.17
9550,14.91,13.15,11.14,9.49,14.44,13.69,23.15,18.98
9600,14.85,13.1,11.12,9.49,14.44,13.6,23.06,18.98
9650,14.85,13.09,11.08,9.38,14.44,13.6,23.06,18.98
9700,14.83,13.07,11.04,9.38,14.25,13.6,23.06,18.98
9750,14.76,13.02,11.04,9.38,14.25,13.6,22.97,18.89
9800,14.74,12.99,10.99,9.38,14.25,13.6,22.97,18.89
9850,14.72,12.95,10.98,9.38,14.16,13.51,22.97,18.8
9900,14.67,12.93,10.98,9.33,14.16,13.51,22.97,18.8
9950,14.67,12.93,10.98,9.34,14.16,13.51,22.97,18.8
10000,14.67,12.93,10.98,9.3,14.16,13.51,22.97,18.8
